,company,industry_code,industry_name,sector_code,sector_name
75,Siyaram Silk, 108,Textiles - Weaving, 5,Textiles
76,Alok Inds., 108,Textiles - Weaving, 5,Textiles
77,Donear Inds., 108,Textiles - Weaving, 5,Textiles
78,Ramgopal Polytex, 26,Textiles - Texturising, 5,Textiles
79,Raj Rayon Inds., 26,Textiles - Texturising, 5,Textiles
80,Blue Blends (I), 26,Textiles - Texturising, 5,Textiles
81,Mohit Inds., 26,Textiles - Texturising, 5,Textiles
82,Sarla Performanc, 26,Textiles - Texturising, 5,Textiles
83,Ganesha Ecosphe., 26,Textiles - Texturising, 5,Textiles
84,Bombay Dyeing, 26,Textiles - Texturising, 5,Textiles
85,AYM Syntex, 26,Textiles - Texturising, 5,Textiles
86,Shekhawati Poly., 26,Textiles - Texturising, 5,Textiles
87,Weizmann, 26,Textiles - Texturising, 5,Textiles
88,Nakoda, 26,Textiles - Texturising, 5,Textiles
89,Damodar Indust., 26,Textiles - Texturising, 5,Textiles
90,Welspun India, 169,Textiles - Terry Towels, 5,Textiles
91,Modern Terry Tow, 169,Textiles - Terry Towels, 5,Textiles
92,Trident, 169,Textiles - Terry Towels, 5,Textiles
93,Salona Cotspin, 45,Textiles - Spinning/Cotton/Blended Yarn - Ring Spg, 5,Textiles
94,Super Spinning, 45,Textiles - Spinning/Cotton/Blended Yarn - Ring Spg, 5,Textiles
95,Suryajyoti Spg., 45,Textiles - Spinning/Cotton/Blended Yarn - Ring Spg, 5,Textiles
96,Suryalak. Cott., 45,Textiles - Spinning/Cotton/Blended Yarn - Ring Spg, 5,Textiles
97,Bannari Amm Spg., 45,Textiles - Spinning/Cotton/Blended Yarn - Ring Spg, 5,Textiles
98,Sutlej Textiles, 45,Textiles - Spinning/Cotton/Blended Yarn - Ring Spg, 5,Textiles
99,Shiva Texyarn, 45,Textiles - Spinning/Cotton/Blended Yarn - Ring Spg, 5,Textiles
100,Birla Cotsyn, 45,Textiles - Spinning/Cotton/Blended Yarn - Ring Spg, 5,Textiles
101,Suprem.Tex Mart, 45,Textiles - Spinning/Cotton/Blended Yarn - Ring Spg, 5,Textiles
102,Malwa Cotton Spg, 45,Textiles - Spinning/Cotton/Blended Yarn - Ring Spg, 5,Textiles
103,Lambodhara Text., 45,Textiles - Spinning/Cotton/Blended Yarn - Ring Spg, 5,Textiles
104,Vardhman Polytex, 45,Textiles - Spinning/Cotton/Blended Yarn - Ring Spg, 5,Textiles
105,DCM, 45,Textiles - Spinning/Cotton/Blended Yarn - Ring Spg, 5,Textiles
106,NEPC Textiles, 45,Textiles - Spinning/Cotton/Blended Yarn - Ring Spg, 5,Textiles
107,Ambika Cotton, 45,Textiles - Spinning/Cotton/Blended Yarn - Ring Spg, 5,Textiles
108,GTN Textiles, 45,Textiles - Spinning/Cotton/Blended Yarn - Ring Spg, 5,Textiles
109,GTN Industries, 45,Textiles - Spinning/Cotton/Blended Yarn - Ring Spg, 5,Textiles
110,Nitin Spinners, 45,Textiles - Spinning/Cotton/Blended Yarn - Ring Spg, 5,Textiles
111,SEL Mfg. Co, 45,Textiles - Spinning/Cotton/Blended Yarn - Ring Spg, 5,Textiles
112,Precot Meridian, 45,Textiles - Spinning/Cotton/Blended Yarn - Ring Spg, 5,Textiles
113,Vardhman Textile, 45,Textiles - Spinning/Cotton/Blended Yarn - Ring Spg, 5,Textiles
114,Supreme Impex, 135,Textiles - Spinning - Synthetic / Blended, 5,Textiles
115,Hind Syntex, 135,Textiles - Spinning - Synthetic / Blended, 5,Textiles
116,Banswara Syntex, 135,Textiles - Spinning - Synthetic / Blended, 5,Textiles
117,Jindal Cotex Ltd, 135,Textiles - Spinning - Synthetic / Blended, 5,Textiles
118,RSWM Ltd, 135,Textiles - Spinning - Synthetic / Blended, 5,Textiles
119,Sangam India, 135,Textiles - Spinning - Synthetic / Blended, 5,Textiles
120,Zenith Exports, 148,Textiles - Silk, 5,Textiles
121,ESI, 148,Textiles - Silk, 5,Textiles
122,Himatsing. Seide, 148,Textiles - Silk, 5,Textiles
123,K P R Mill Ltd, 234,Textiles - Readymade Apparel, 64,Readymade Garments/ Apparells
124,Rupa & Co, 234,Textiles - Readymade Apparel, 64,Readymade Garments/ Apparells
125,Sudar Industries, 234,Textiles - Readymade Apparel, 5,Textiles
126,Thomas Scott, 234,Textiles - Readymade Apparel, 5,Textiles
127,Gokaldas Exports, 234,Textiles - Readymade Apparel, 64,Readymade Garments/ Apparells
128,Kewal Kir.Cloth., 234,Textiles - Readymade Apparel, 64,Readymade Garments/ Apparells
129,Bang Overseas, 234,Textiles - Readymade Apparel, 5,Textiles
130,First Winner, 234,Textiles - Readymade Apparel, 64,Readymade Garments/ Apparells
131,Koutons Retail, 234,Textiles - Readymade Apparel, 64,Readymade Garments/ Apparells
132,PDS Multi., 234,Textiles - Readymade Apparel, 5,Textiles
133,Evinix Indus., 234,Textiles - Readymade Apparel, 64,Readymade Garments/ Apparells
134,Page Industries, 234,Textiles - Readymade Apparel, 64,Readymade Garments/ Apparells
